Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Beatriz Santos,Vestuário,1593.59,3299.27,0.24,0.16,2019-09-26,8,17
Camila Lima,Vestuário,1328.27,5713.3,0.27,0.18,2019-09-26,7,30
Thiago Barbosa,Acessórios,678.57,3275.0,0.4,0.6,2019-09-26,6,28
Letícia Ribeiro,Acessórios,2161.48,2555.2,0.5,0.4,2019-09-26,19,55
Enzo Nascimento,Casa,4771.48,7899.79,0.26,0.28,2019-09-26,36,160
Guilherme Santos,Casa,2188.9,4687.74,0.11,0.28,2019-09-26,16,75
Vitória Ribeiro,Brinquedo,9663.76,7080.63,0.27,0.3,2019-09-26,81,212
Julia Araújo,Esportes,6445.0,9221.6,0.31,0.36,2019-09-26,42,93
Lucas Rodrigues,Esportes,7475.01,4726.3,0.23,0.33,2019-09-26,59,197
Thiago Carvalho,Esportes,10081.85,10465.9,0.29,0.33,2019-09-26,80,291
Mateus Barbosa,Eletrônicos,12269.4,7377.09,0.11,0.18,2019-09-26,132,345
Camila Carvalho,Casa,10600.41,8583.53,0.34,0.32,2019-09-26,93,239
Diego Cardoso,Vestuário,6004.52,6146.01,0.11,0.19,2019-09-26,39,79
Jorge Santos,Brinquedo,6335.18,6583.78,0.33,0.25,2019-09-26,49,259
Raphael Silva,Papelaria,3093.8,797.27,0.38,0.52,2019-09-26,21,89
Caroline Reis,Papelaria,1639.84,954.82,0.63,0.49,2019-09-26,12,44
Letícia Nascimento,Eletrônicos,2879.52,6321.82,0.16,0.2,2019-09-27,17,53
Ana Sousa,Eletrônicos,8599.99,8225.4,0.09,0.21,2019-09-27,67,158
Gustavo Martins,Eletrônicos,11386.68,8624.02,0.22,0.22,2019-09-27,78,313
Beatriz Santos,Vestuário,2661.07,5522.46,0.2,0.21,2019-09-27,17,33
Camila Lima,Vestuário,3578.63,6674.57,0.17,0.15,2019-09-27,25,85
Thiago Barbosa,Acessórios,2018.57,1997.93,0.24,0.48,2019-09-27,12,59
Letícia Ribeiro,Acessórios,3322.07,2965.0,0.46,0.42,2019-09-27,24,71
Enzo Nascimento,Casa,13974.85,6902.64,0.3,0.23,2019-09-27,146,380
Guilherme Santos,Casa,4230.86,4200.85,0.33,0.28,2019-09-27,32,54
Vitória Ribeiro,Brinquedo,10415.76,7049.92,0.37,0.21,2019-09-27,75,190
Julia Araújo,Esportes,9590.07,6026.84,0.25,0.31,2019-09-27,75,224
Lucas Rodrigues,Esportes,12467.74,10435.11,0.14,0.27,2019-09-27,154,656
Thiago Carvalho,Esportes,3038.2,9653.69,0.33,0.29,2019-09-27,24,81
Mateus Barbosa,Eletrônicos,5153.66,3438.85,0.11,0.2,2019-09-27,42,202
Camila Carvalho,Casa,1074.67,5358.33,0.19,0.31,2019-09-27,6,13
Diego Cardoso,Vestuário,7786.83,5580.03,0.26,0.19,2019-09-27,60,253
Jorge Santos,Brinquedo,1668.94,7065.57,0.37,0.24,2019-09-27,10,39
Raphael Silva,Papelaria,2551.65,1799.65,0.22,0.49,2019-09-27,19,90
Caroline Reis,Papelaria,1755.1,2037.75,0.56,0.43,2019-09-27,11,37
Letícia Nascimento,Eletrônicos,7602.55,6834.21,0.19,0.18,2019-09-28,64,132
Ana Sousa,Eletrônicos,9785.98,6345.61,0.18,0.18,2019-09-28,75,375
Gustavo Martins,Eletrônicos,6079.93,6422.03,0.31,0.18,2019-09-28,43,176
Beatriz Santos,Vestuário,3663.72,2326.32,0.18,0.18,2019-09-28,25,87
Camila Lima,Vestuário,6346.98,3086.45,0.24,0.16,2019-09-28,41,79
Thiago Barbosa,Acessórios,1046.11,1860.69,0.32,0.58,2019-09-28,10,23
Letícia Ribeiro,Acessórios,3584.91,1375.95,0.38,0.58,2019-09-28,25,121
Enzo Nascimento,Casa,1404.8,8927.36,0.13,0.3,2019-09-28,11,52
Guilherme Santos,Casa,5369.05,8944.61,0.35,0.3,2019-09-28,42,85
Vitória Ribeiro,Brinquedo,3145.73,3068.36,0.39,0.22,2019-09-28,24,62
Julia Araújo,Esportes,4017.42,4581.3,0.25,0.31,2019-09-28,32,92
Lucas Rodrigues,Esportes,12670.15,6656.1,0.42,0.34,2019-09-28,98,286
Thiago Carvalho,Esportes,3149.92,5147.77,0.36,0.31,2019-09-28,21,100
Mateus Barbosa,Eletrônicos,9260.42,5042.27,0.26,0.24,2019-09-28,69,258
Camila Carvalho,Casa,3592.7,6279.85,0.15,0.28,2019-09-28,25,91
Diego Cardoso,Vestuário,5614.53,5234.44,0.24,0.16,2019-09-28,42,186
Jorge Santos,Brinquedo,5216.83,7188.36,0.22,0.26,2019-09-28,42,180
Raphael Silva,Papelaria,2509.11,1705.16,0.18,0.43,2019-09-28,16,35
Caroline Reis,Papelaria,3653.1,1275.29,0.23,0.36,2019-09-28,28,46
Letícia Nascimento,Eletrônicos,2629.17,5119.15,0.2,0.19,2019-09-29,16,72
Ana Sousa,Eletrônicos,2681.91,2660.47,0.1,0.22,2019-09-29,21,82
Gustavo Martins,Eletrônicos,9284.51,5912.58,0.22,0.24,2019-09-29,65,333
Beatriz Santos,Vestuário,1597.07,6767.42,0.16,0.19,2019-09-29,12,29
Camila Lima,Vestuário,1211.04,6975.48,0.12,0.15,2019-09-29,10,40
Thiago Barbosa,Acessórios,1056.11,2567.08,0.26,0.58,2019-09-29,7,23
Letícia Ribeiro,Acessórios,200.97,3434.86,0.3,0.6,2019-09-29,2,4
Enzo Nascimento,Casa,1312.67,5850.66,0.18,0.33,2019-09-29,8,39
Guilherme Santos,Casa,3473.3,6517.25,0.12,0.28,2019-09-29,28,121
Vitória Ribeiro,Brinquedo,9868.6,3187.31,0.23,0.25,2019-09-29,80,298
Julia Araújo,Esportes,11553.31,6446.84,0.25,0.26,2019-09-29,82,130
Lucas Rodrigues,Esportes,10357.99,3016.57,0.2,0.34,2019-09-29,80,403
Thiago Carvalho,Esportes,12758.52,8034.63,0.45,0.27,2019-09-29,146,301
Mateus Barbosa,Eletrônicos,8339.34,9661.46,0.31,0.2,2019-09-29,60,227
Camila Carvalho,Casa,14084.19,10209.56,0.29,0.25,2019-09-29,123,210
Diego Cardoso,Vestuário,5844.1,2551.17,0.2,0.17,2019-09-29,38,189
Jorge Santos,Brinquedo,6791.11,7117.33,0.31,0.27,2019-09-29,49,143
Raphael Silva,Papelaria,1796.72,1270.49,0.38,0.5,2019-09-29,15,53
Caroline Reis,Papelaria,2928.87,914.98,0.34,0.43,2019-09-29,21,105
Letícia Nascimento,Eletrônicos,4123.82,6210.55,0.26,0.16,2019-09-30,30,64
Ana Sousa,Eletrônicos,5010.61,9686.07,0.3,0.18,2019-09-30,32,92
Gustavo Martins,Eletrônicos,3325.23,4177.43,0.18,0.19,2019-09-30,25,84
Beatriz Santos,Vestuário,2863.47,2442.62,0.24,0.2,2019-09-30,17,55
Camila Lima,Vestuário,2827.93,5175.81,0.15,0.2,2019-09-30,21,91
Thiago Barbosa,Acessórios,2276.84,1883.44,0.34,0.56,2019-09-30,19,57
Letícia Ribeiro,Acessórios,2091.36,2785.2,0.68,0.54,2019-09-30,12,54
Enzo Nascimento,Casa,4885.98,2885.2,0.22,0.29,2019-09-30,32,168
Guilherme Santos,Casa,2880.89,4556.12,0.44,0.3,2019-09-30,16,26
Vitória Ribeiro,Brinquedo,3552.46,4580.61,0.33,0.21,2019-09-30,25,74
Julia Araújo,Esportes,3357.13,7615.11,0.49,0.31,2019-09-30,25,47
Lucas Rodrigues,Esportes,13598.4,4421.43,0.42,0.34,2019-09-30,130,289
Thiago Carvalho,Esportes,8361.29,9837.1,0.26,0.29,2019-09-30,71,293
Mateus Barbosa,Eletrônicos,10508.17,3841.05,0.16,0.16,2019-09-30,71,285
Camila Carvalho,Casa,11233.57,10173.6,0.26,0.26,2019-09-30,94,458
Diego Cardoso,Vestuário,3189.5,6538.09,0.24,0.19,2019-09-30,25,117
Jorge Santos,Brinquedo,8237.21,6486.07,0.15,0.29,2019-09-30,64,297
Raphael Silva,Papelaria,3420.98,2712.79,0.18,0.45,2019-09-30,25,72
Caroline Reis,Papelaria,2899.92,853.84,0.58,0.47,2019-09-30,20,53
Letícia Nascimento,Eletrônicos,11564.32,3119.47,0.1,0.17,2019-10-01,94,380
Ana Sousa,Eletrônicos,6971.44,7498.63,0.31,0.22,2019-10-01,46,78
Gustavo Martins,Eletrônicos,7862.64,7669.27,0.1,0.21,2019-10-01,55,106
Beatriz Santos,Vestuário,4910.94,4519.23,0.13,0.17,2019-10-01,32,103
Camila Lima,Vestuário,5937.14,6702.07,0.15,0.19,2019-10-01,42,73
Thiago Barbosa,Acessórios,2679.36,3586.11,0.64,0.56,2019-10-01,21,62
Letícia Ribeiro,Acessórios,2843.34,3336.53,0.6,0.5,2019-10-01,19,43
Enzo Nascimento,Casa,7974.23,4379.01,0.36,0.25,2019-10-01,59,114
Guilherme Santos,Casa,5155.7,9582.44,0.41,0.29,2019-10-01,42,157
Vitória Ribeiro,Brinquedo,4722.45,3468.47,0.11,0.29,2019-10-01,36,166
Julia Araújo,Esportes,11606.46,4277.71,0.36,0.34,2019-10-01,90,304
Lucas Rodrigues,Esportes,4667.44,9925.76,0.45,0.27,2019-10-01,38,126
Thiago Carvalho,Esportes,12122.96,8319.01,0.2,0.39,2019-10-01,85,418
Mateus Barbosa,Eletrônicos,10610.63,6042.65,0.23,0.23,2019-10-01,80,233
Camila Carvalho,Casa,4826.64,4056.37,0.34,0.23,2019-10-01,30,130
Diego Cardoso,Vestuário,2637.52,2321.59,0.08,0.16,2019-10-01,16,44
Jorge Santos,Brinquedo,1570.53,6038.88,0.13,0.26,2019-10-01,11,35
Raphael Silva,Papelaria,390.49,2300.88,0.36,0.4,2019-10-01,2,7
Caroline Reis,Papelaria,2201.26,1823.61,0.2,0.5,2019-10-01,15,37
Letícia Nascimento,Eletrônicos,4616.27,7004.66,0.31,0.21,2019-10-02,33,110
Ana Sousa,Eletrônicos,3857.34,3924.38,0.12,0.23,2019-10-02,26,140
Gustavo Martins,Eletrônicos,10330.5,3806.88,0.24,0.2,2019-10-02,77,268
Beatriz Santos,Vestuário,3095.4,6708.42,0.1,0.18,2019-10-02,25,95
Camila Lima,Vestuário,1016.6,5645.04,0.13,0.2,2019-10-02,10,43
Thiago Barbosa,Acessórios,2737.11,1057.06,0.54,0.46,2019-10-02,17,74
Letícia Ribeiro,Acessórios,2010.98,1464.57,0.48,0.42,2019-10-02,15,25
Enzo Nascimento,Casa,10010.99,6520.8,0.36,0.33,2019-10-02,75,335
Guilherme Santos,Casa,10733.22,9127.01,0.31,0.3,2019-10-02,94,248
Vitória Ribeiro,Brinquedo,1899.19,3677.37,0.23,0.25,2019-10-02,12,48
Julia Araújo,Esportes,5256.91,5621.23,0.3,0.31,2019-10-02,41,191
Lucas Rodrigues,Esportes,8514.41,6223.07,0.26,0.35,2019-10-02,72,380
Thiago Carvalho,Esportes,11372.43,4553.76,0.14,0.27,2019-10-02,94,192
Mateus Barbosa,Eletrônicos,8748.99,2938.91,0.14,0.16,2019-10-02,67,313
Camila Carvalho,Casa,863.29,9166.36,0.3,0.29,2019-10-02,4,14
Diego Cardoso,Vestuário,5834.71,2440.78,0.25,0.16,2019-10-02,37,117
Jorge Santos,Brinquedo,2877.68,3368.37,0.33,0.26,2019-10-02,17,44
Raphael Silva,Papelaria,3589.68,1244.33,0.54,0.38,2019-10-02,25,118
Caroline Reis,Papelaria,1306.94,1534.18,0.29,0.43,2019-10-02,10,33
Letícia Nascimento,Eletrônicos,4116.89,5239.2,0.13,0.16,2019-10-03,29,141
Ana Sousa,Eletrônicos,2691.49,6147.26,0.16,0.18,2019-10-03,19,40
Gustavo Martins,Eletrônicos,5508.64,8520.79,0.29,0.17,2019-10-03,39,71
Beatriz Santos,Vestuário,1054.85,2768.61,0.2,0.18,2019-10-03,7,20
Camila Lima,Vestuário,6911.07,1852.41,0.22,0.15,2019-10-03,46,104
Thiago Barbosa,Acessórios,2348.93,3538.62,0.38,0.42,2019-10-03,17,65
Letícia Ribeiro,Acessórios,4620.46,3288.15,0.7,0.48,2019-10-03,34,117
Enzo Nascimento,Casa,2501.22,7579.02,0.33,0.24,2019-10-03,17,88
Guilherme Santos,Casa,8406.99,6624.77,0.22,0.29,2019-10-03,71,261
Vitória Ribeiro,Brinquedo,10614.42,4181.6,0.15,0.25,2019-10-03,85,260
Julia Araújo,Esportes,6262.87,10316.55,0.39,0.34,2019-10-03,41,131
Lucas Rodrigues,Esportes,13645.45,3965.23,0.38,0.38,2019-10-03,149,260
Thiago Carvalho,Esportes,10403.17,6217.95,0.21,0.35,2019-10-03,71,253
Mateus Barbosa,Eletrônicos,2102.01,4740.99,0.18,0.2,2019-10-03,12,29
Camila Carvalho,Casa,6908.18,10191.82,0.13,0.25,2019-10-03,47,160
Diego Cardoso,Vestuário,7766.24,6076.07,0.15,0.21,2019-10-03,54,242
Jorge Santos,Brinquedo,866.29,2449.74,0.38,0.25,2019-10-03,4,20
Raphael Silva,Papelaria,2718.31,1646.08,0.31,0.5,2019-10-03,16,39
Caroline Reis,Papelaria,3356.85,1431.9,0.29,0.41,2019-10-03,21,66
Letícia Nascimento,Eletrônicos,1489.36,3415.15,0.22,0.2,2019-10-04,10,29
Ana Sousa,Eletrônicos,7769.44,6246.24,0.14,0.22,2019-10-04,55,266
Gustavo Martins,Eletrônicos,1957.0,4302.88,0.2,0.18,2019-10-04,12,63
Beatriz Santos,Vestuário,2943.56,5868.52,0.1,0.19,2019-10-04,16,72
Camila Lima,Vestuário,8742.56,2486.24,0.27,0.21,2019-10-04,71,286
Thiago Barbosa,Acessórios,1213.69,1342.74,0.4,0.54,2019-10-04,8,39
Letícia Ribeiro,Acessórios,4499.1,3106.9,0.48,0.44,2019-10-04,36,182
Enzo Nascimento,Casa,12097.93,5264.72,0.29,0.33,2019-10-04,91,402
Guilherme Santos,Casa,4226.05,5034.58,0.13,0.25,2019-10-04,30,56
Vitória Ribeiro,Brinquedo,2270.77,7085.11,0.36,0.26,2019-10-04,16,56
Julia Araújo,Esportes,7604.46,3078.37,0.26,0.36,2019-10-04,64,173
Lucas Rodrigues,Esportes,7464.24,2995.61,0.31,0.29,2019-10-04,55,237
Thiago Carvalho,Esportes,4742.63,3849.94,0.35,0.36,2019-10-04,32,105
Mateus Barbosa,Eletrônicos,4091.3,4111.33,0.31,0.22,2019-10-04,33,81
Camila Carvalho,Casa,7897.49,4216.96,0.18,0.31,2019-10-04,55,283
Diego Cardoso,Vestuário,7666.94,2593.71,0.09,0.15,2019-10-04,64,119
Jorge Santos,Brinquedo,7182.11,5179.44,0.36,0.28,2019-10-04,50,180
Raphael Silva,Papelaria,860.89,1033.64,0.2,0.45,2019-10-04,7,32
Caroline Reis,Papelaria,2684.65,2804.52,0.59,0.43,2019-10-04,17,87
Letícia Nascimento,Eletrônicos,5216.88,4526.23,0.32,0.17,2019-10-05,42,111
Ana Sousa,Eletrônicos,6712.65,5775.44,0.18,0.22,2019-10-05,54,243
Gustavo Martins,Eletrônicos,12164.52,4065.01,0.27,0.21,2019-10-05,93,158
Beatriz Santos,Vestuário,3033.55,5299.27,0.08,0.15,2019-10-05,25,120
Camila Lima,Vestuário,7935.67,2742.89,0.13,0.18,2019-10-05,62,243
Thiago Barbosa,Acessórios,130.92,3238.07,0.24,0.54,2019-10-05,2,5
Letícia Ribeiro,Acessórios,1169.21,2731.67,0.68,0.52,2019-10-05,7,23
Enzo Nascimento,Casa,14818.73,8967.19,0.23,0.26,2019-10-05,158,630
Guilherme Santos,Casa,5881.39,4760.09,0.22,0.3,2019-10-05,45,238
Vitória Ribeiro,Brinquedo,8435.03,5933.84,0.17,0.29,2019-10-05,62,127
Julia Araújo,Esportes,13196.57,7032.73,0.34,0.33,2019-10-05,133,679
Lucas Rodrigues,Esportes,2005.57,10328.6,0.13,0.29,2019-10-05,13,50
Thiago Carvalho,Esportes,2826.78,5615.62,0.43,0.31,2019-10-05,20,75
Mateus Barbosa,Eletrônicos,4575.66,6553.79,0.22,0.16,2019-10-05,38,71
Camila Carvalho,Casa,5897.53,8282.74,0.11,0.24,2019-10-05,49,146
Diego Cardoso,Vestuário,1131.95,4329.9,0.14,0.2,2019-10-05,7,25
Jorge Santos,Brinquedo,1233.13,3978.31,0.2,0.29,2019-10-05,8,31
Raphael Silva,Papelaria,1663.25,2755.78,0.27,0.52,2019-10-05,11,32
Caroline Reis,Papelaria,1566.44,990.85,0.27,0.5,2019-10-05,10,46
Letícia Nascimento,Eletrônicos,12234.74,6286.87,0.18,0.22,2019-10-06,138,306
Ana Sousa,Eletrônicos,6213.1,3845.38,0.14,0.17,2019-10-06,42,224
Gustavo Martins,Eletrônicos,1606.63,6811.76,0.25,0.22,2019-10-06,12,36
Beatriz Santos,Vestuário,7343.83,7078.56,0.26,0.21,2019-10-06,56,147
Camila Lima,Vestuário,1884.23,6467.34,0.28,0.2,2019-10-06,13,46
Thiago Barbosa,Acessórios,425.0,1477.33,0.52,0.58,2019-10-06,2,5
Letícia Ribeiro,Acessórios,2537.81,2319.83,0.52,0.56,2019-10-06,20,90
Enzo Nascimento,Casa,7610.05,6844.06,0.13,0.22,2019-10-06,62,149
Guilherme Santos,Casa,8813.65,3220.58,0.31,0.33,2019-10-06,69,129
Vitória Ribeiro,Brinquedo,7046.54,6629.21,0.1,0.29,2019-10-06,50,242
Julia Araújo,Esportes,8810.26,10495.69,0.27,0.33,2019-10-06,68,267
Lucas Rodrigues,Esportes,1431.85,7411.87,0.3,0.38,2019-10-06,11,24
Thiago Carvalho,Esportes,7808.53,7087.62,0.4,0.38,2019-10-06,64,307
Mateus Barbosa,Eletrônicos,12756.27,2939.33,0.21,0.18,2019-10-06,151,479
Camila Carvalho,Casa,664.61,3621.28,0.41,0.24,2019-10-06,3,11
Diego Cardoso,Vestuário,9107.14,4190.61,0.24,0.2,2019-10-06,71,133
Jorge Santos,Brinquedo,620.58,5327.34,0.38,0.22,2019-10-06,3,10
Raphael Silva,Papelaria,1866.3,1977.54,0.59,0.45,2019-10-06,12,19
Caroline Reis,Papelaria,2583.01,2071.87,0.52,0.49,2019-10-06,16,28
Letícia Nascimento,Eletrônicos,1120.5,4964.59,0.21,0.21,2019-10-07,8,19
Ana Sousa,Eletrônicos,2625.03,4802.0,0.15,0.2,2019-10-07,20,68
Gustavo Martins,Eletrônicos,6690.03,6237.81,0.21,0.2,2019-10-07,55,266
Beatriz Santos,Vestuário,2329.65,2838.83,0.17,0.2,2019-10-07,19,68
Camila Lima,Vestuário,2348.05,4768.13,0.17,0.2,2019-10-07,16,34
Thiago Barbosa,Acessórios,4619.65,1432.09,0.66,0.56,2019-10-07,37,92
Letícia Ribeiro,Acessórios,781.62,1503.26,0.78,0.52,2019-10-07,7,23
Enzo Nascimento,Casa,13880.24,3767.25,0.3,0.26,2019-10-07,106,277
Guilherme Santos,Casa,11737.29,10161.8,0.28,0.3,2019-10-07,80,309
Vitória Ribeiro,Brinquedo,2150.96,2714.26,0.36,0.22,2019-10-07,17,29
Julia Araújo,Esportes,5221.07,6025.29,0.33,0.33,2019-10-07,41,197
Lucas Rodrigues,Esportes,2639.56,5619.35,0.36,0.33,2019-10-07,16,35
Thiago Carvalho,Esportes,2540.78,7080.2,0.2,0.36,2019-10-07,20,97
Mateus Barbosa,Eletrônicos,6699.48,5332.73,0.25,0.21,2019-10-07,47,164
Camila Carvalho,Casa,10156.8,7787.35,0.12,0.23,2019-10-07,71,364
Diego Cardoso,Vestuário,7180.47,6740.46,0.12,0.17,2019-10-07,55,88
Jorge Santos,Brinquedo,340.16,3119.91,0.39,0.26,2019-10-07,3,12
Raphael Silva,Papelaria,3359.15,2055.89,0.34,0.49,2019-10-07,25,44
Caroline Reis,Papelaria,799.79,1071.14,0.41,0.5,2019-10-07,6,13
Letícia Nascimento,Eletrônicos,10235.64,4922.07,0.22,0.22,2019-10-08,69,169
Ana Sousa,Eletrônicos,10242.7,7901.78,0.09,0.18,2019-10-08,77,244
Gustavo Martins,Eletrônicos,10304.47,3594.87,0.1,0.18,2019-10-08,77,329
Beatriz Santos,Vestuário,2140.23,5152.79,0.21,0.2,2019-10-08,19,98
Camila Lima,Vestuário,573.55,5650.31,0.24,0.17,2019-10-08,3,14
Thiago Barbosa,Acessórios,3940.39,3591.37,0.66,0.42,2019-10-08,33,170
Letícia Ribeiro,Acessórios,1906.02,2476.19,0.42,0.56,2019-10-08,15,57
Enzo Nascimento,Casa,14630.55,4826.22,0.31,0.31,2019-10-08,117,340
Guilherme Santos,Casa,2310.58,3202.4,0.43,0.24,2019-10-08,19,71
Vitória Ribeiro,Brinquedo,8269.34,6005.55,0.16,0.29,2019-10-08,62,228
Julia Araújo,Esportes,2292.33,6929.3,0.35,0.35,2019-10-08,15,64
Lucas Rodrigues,Esportes,1543.49,7869.76,0.2,0.3,2019-10-08,11,54
Thiago Carvalho,Esportes,1970.64,9970.41,0.51,0.3,2019-10-08,15,77
Mateus Barbosa,Eletrônicos,9175.42,4515.61,0.21,0.19,2019-10-08,72,341
Camila Carvalho,Casa,10071.08,9603.63,0.36,0.31,2019-10-08,72,330
Diego Cardoso,Vestuário,3581.74,5073.18,0.22,0.15,2019-10-08,28,57
Jorge Santos,Brinquedo,2239.33,7207.09,0.18,0.22,2019-10-08,15,52
Raphael Silva,Papelaria,2408.81,1727.7,0.31,0.45,2019-10-08,15,75
Caroline Reis,Papelaria,1830.27,1601.97,0.52,0.4,2019-10-08,15,69
Letícia Nascimento,Eletrônicos,2794.67,3559.31,0.22,0.21,2019-10-09,20,56
Ana Sousa,Eletrônicos,5009.43,4461.99,0.14,0.17,2019-10-09,33,56
Gustavo Martins,Eletrônicos,5567.81,8234.41,0.12,0.24,2019-10-09,41,101
Beatriz Santos,Vestuário,4471.25,1874.78,0.23,0.17,2019-10-09,38,147
Camila Lima,Vestuário,4150.78,3741.69,0.27,0.18,2019-10-09,32,114
Thiago Barbosa,Acessórios,1032.86,3025.78,0.76,0.46,2019-10-09,7,13
Letícia Ribeiro,Acessórios,594.69,3119.86,0.38,0.4,2019-10-09,2,6
Enzo Nascimento,Casa,12537.18,6598.42,0.17,0.26,2019-10-09,95,493
Guilherme Santos,Casa,8264.54,10791.38,0.34,0.23,2019-10-09,56,148
Vitória Ribeiro,Brinquedo,4584.51,2910.35,0.3,0.27,2019-10-09,36,126
Julia Araújo,Esportes,6879.42,10504.79,0.52,0.3,2019-10-09,46,188
Lucas Rodrigues,Esportes,1244.48,6277.08,0.44,0.33,2019-10-09,7,27
Thiago Carvalho,Esportes,13603.42,10136.59,0.18,0.27,2019-10-09,106,471
Mateus Barbosa,Eletrônicos,9046.47,3081.33,0.16,0.2,2019-10-09,69,190
Camila Carvalho,Casa,7370.19,6627.23,0.13,0.26,2019-10-09,51,123
Diego Cardoso,Vestuário,8497.79,4436.89,0.21,0.2,2019-10-09,68,252
Jorge Santos,Brinquedo,4959.69,7113.8,0.36,0.24,2019-10-09,30,133
Raphael Silva,Papelaria,2506.73,2373.79,0.5,0.36,2019-10-09,19,81
Caroline Reis,Papelaria,2803.32,2534.63,0.5,0.49,2019-10-09,21,61
Letícia Nascimento,Eletrônicos,4654.23,4894.68,0.15,0.18,2019-10-10,38,72
Ana Sousa,Eletrônicos,11900.84,6456.27,0.11,0.19,2019-10-10,88,386
Gustavo Martins,Eletrônicos,3900.13,4861.52,0.27,0.23,2019-10-10,28,139
Beatriz Santos,Vestuário,7744.59,4893.11,0.27,0.15,2019-10-10,64,254
Camila Lima,Vestuário,9060.63,3504.23,0.09,0.16,2019-10-10,72,316
Thiago Barbosa,Acessórios,1818.3,1659.21,0.72,0.58,2019-10-10,13,37
Letícia Ribeiro,Acessórios,3901.21,2244.74,0.4,0.56,2019-10-10,25,101
Enzo Nascimento,Casa,5678.38,4684.39,0.3,0.32,2019-10-10,38,147
Guilherme Santos,Casa,2500.81,11101.36,0.25,0.29,2019-10-10,17,34
Vitória Ribeiro,Brinquedo,3983.31,4590.04,0.21,0.21,2019-10-10,30,144
Julia Araújo,Esportes,8528.52,10315.78,0.3,0.29,2019-10-10,65,148
Lucas Rodrigues,Esportes,298.99,5227.78,0.23,0.39,2019-10-10,2,5
Thiago Carvalho,Esportes,3258.18,5891.83,0.43,0.39,2019-10-10,24,122
Mateus Barbosa,Eletrônicos,7577.5,5917.18,0.32,0.22,2019-10-10,63,153
Camila Carvalho,Casa,7387.78,2944.13,0.3,0.32,2019-10-10,55,275
Diego Cardoso,Vestuário,7195.5,6923.76,0.27,0.17,2019-10-10,49,217
Jorge Santos,Brinquedo,5945.32,3264.0,0.33,0.27,2019-10-10,47,202
Raphael Silva,Papelaria,2721.17,1285.77,0.49,0.43,2019-10-10,17,49
Caroline Reis,Papelaria,1851.09,2291.18,0.41,0.5,2019-10-10,13,36
Letícia Nascimento,Eletrônicos,9616.57,8530.83,0.3,0.24,2019-10-11,81,430
Ana Sousa,Eletrônicos,4040.96,2648.65,0.26,0.22,2019-10-11,30,68
Gustavo Martins,Eletrônicos,4472.01,9649.63,0.25,0.22,2019-10-11,32,150
Beatriz Santos,Vestuário,7510.41,4129.38,0.22,0.2,2019-10-11,64,281
Camila Lima,Vestuário,4598.22,4507.26,0.19,0.17,2019-10-11,32,158
Thiago Barbosa,Acessórios,2800.16,1474.32,0.7,0.48,2019-10-11,19,69
Letícia Ribeiro,Acessórios,2238.81,2056.85,0.48,0.44,2019-10-11,19,62
Enzo Nascimento,Casa,9516.73,3041.0,0.19,0.32,2019-10-11,80,263
Guilherme Santos,Casa,1916.73,4848.68,0.12,0.22,2019-10-11,13,40
Vitória Ribeiro,Brinquedo,10177.52,6872.72,0.36,0.23,2019-10-11,75,205
Julia Araújo,Esportes,1312.64,8647.97,0.18,0.38,2019-10-11,10,47
Lucas Rodrigues,Esportes,11820.54,5074.78,0.52,0.26,2019-10-11,84,332
Thiago Carvalho,Esportes,685.43,6336.96,0.47,0.3,2019-10-11,4,15
Mateus Barbosa,Eletrônicos,2263.42,3530.98,0.15,0.17,2019-10-11,19,78
Camila Carvalho,Casa,6149.96,7835.31,0.42,0.3,2019-10-11,41,83
Diego Cardoso,Vestuário,361.19,5360.71,0.08,0.15,2019-10-11,3,9
Jorge Santos,Brinquedo,2311.72,2383.49,0.22,0.26,2019-10-11,15,27
Raphael Silva,Papelaria,702.5,1780.09,0.4,0.47,2019-10-11,6,28
Caroline Reis,Papelaria,1282.0,1426.5,0.38,0.5,2019-10-11,10,43
Letícia Nascimento,Eletrônicos,2059.08,2443.71,0.29,0.2,2019-10-12,12,40
Ana Sousa,Eletrônicos,11973.45,5699.86,0.17,0.21,2019-10-12,91,228
Gustavo Martins,Eletrônicos,9084.09,9475.12,0.28,0.22,2019-10-12,67,342
Beatriz Santos,Vestuário,9148.36,1847.73,0.08,0.2,2019-10-12,71,276
Camila Lima,Vestuário,2821.62,4329.0,0.22,0.16,2019-10-12,16,82
Thiago Barbosa,Acessórios,3709.06,1032.18,0.26,0.48,2019-10-12,25,133
Letícia Ribeiro,Acessórios,1420.43,3396.04,0.5,0.58,2019-10-12,11,36
Enzo Nascimento,Casa,7715.1,10292.02,0.13,0.24,2019-10-12,62,246
Guilherme Santos,Casa,11237.76,9269.19,0.33,0.24,2019-10-12,88,174
Vitória Ribeiro,Brinquedo,5097.94,4017.87,0.33,0.29,2019-10-12,37,147
Julia Araújo,Esportes,9038.47,4822.97,0.3,0.34,2019-10-12,68,322
Lucas Rodrigues,Esportes,759.55,10520.84,0.26,0.31,2019-10-12,3,13
Thiago Carvalho,Esportes,2837.81,3488.72,0.2,0.3,2019-10-12,17,32
Mateus Barbosa,Eletrônicos,4375.34,3443.87,0.19,0.21,2019-10-12,30,47
